1,"00:00:19,621","00:00:21,148",Stark!,0
2,"00:00:21,541","00:00:22,661",He doesn't seem happy.,0
3,"00:00:22,861","00:00:24,228","Hello, Hank.",0
4,"00:00:25,901","00:00:27,421",You're supposed to be in Moscow.,0
5,"00:00:27,621","00:00:29,387",I took a detour...,0
6,"00:00:30,461","00:00:32,591",Through your defense lab.,0
7,"00:00:33,341","00:00:35,541",Tell me that isn't what I think it is.,0
8,"00:00:35,741","00:00:39,661",That depends if you think it's a poor attempt to replicate my work.,0
9,"00:00:39,861","00:00:43,021","Even for this group, that takes nerve.",0
10,"00:00:43,221","00:00:44,621",You were instructed to go to Russia.,0
11,"00:00:44,821","00:00:46,701","May I remind you, Dr. Pym, that you're a soldier...",0
12,"00:00:46,901","00:00:47,901",I'm a scientist.,0
13,"00:00:48,101","00:00:49,621",Then act like one.,0
14,"00:00:49,821","00:00:52,261",The Pym Particle is the most revolutionary science ever developed.,0
15,"00:00:52,461","00:00:53,461",Help us put it to good use.,0
16,"00:00:53,661","00:00:55,941","I let you turn me into your errand boy,",0
17,"00:00:56,141","00:00:57,941",and now you try to steal my research?,0
18,"00:00:58,141","00:01:02,467","If only you'd protected Janet with such ferocity, Dr. Pym.",0
19,"00:01:04,941","00:01:06,069",Ah...,0
20,"00:01:07,181","00:01:09,151","Easy, Hank.",0
21,"00:01:10,501","00:01:13,021",You mention my wife again,0
22,"00:01:13,221","00:01:15,141",and I'll show you ferocity.,0
23,"00:01:15,341","00:01:16,947",Don't look at me. You said it.,0
24,"00:01:18,021","00:01:20,221",I formally tender my resignation.,0
25,"00:01:20,421","00:01:22,621",We don't accept it. Formally.,0
26,"00:01:22,821","00:01:23,981","Hank,",0
27,"00:01:24,181","00:01:25,781",we need you.,0
28,"00:01:25,981","00:01:28,181",The Pym Particle is a miracle. Please.,0
29,"00:01:28,381","00:01:30,581",Don't let your past determine the future.,0
30,"00:01:30,781","00:01:33,581","As long as I am alive,",0
31,"00:01:33,781","00:01:37,265",nobody will ever get that formula.,0
32,"00:01:43,941","00:01:45,821",We shouldn't let him leave the building.,0
33,"00:01:46,021","00:01:48,101",You've already lied to him. Now you want to go to war with him?,0
34,"00:01:48,301","00:01:49,701",Yes.,0
35,"00:01:49,901","00:01:52,821",Our scientists haven't come close to replicating his work.,0
36,"00:01:53,021","00:01:54,941","He just kicked your ass, full-size.",0
37,"00:01:55,141","00:01:58,023",You really want to find out what it's like when you can't see him coming?,0
38,"00:01:58,741","00:02:00,181",I've known Hank Pym for a long time.,0
39,"00:02:00,381","00:02:01,873",He's no security risk.,0
40,"00:02:04,101","00:02:05,787",Unless we make him one.,0
41,"00:02:44,581","00:02:45,789",You like that?,0
42,"00:02:46,141","00:02:47,141",You like that?,0
43,"00:02:47,341","00:02:48,788",Come get you some now.,0
44,"00:03:00,421","00:03:01,549",You didn't even move.,0
45,"00:03:02,101","00:03:02,941",Nah.,0
46,"00:03:03,141","00:03:05,261","What if I come in on the left side, right? Just down here.",0
47,"00:03:05,461","00:03:06,464",You see this right here?,0
48,"00:03:15,141","00:03:16,661","I'm gonna miss you, Scott.",0
49,"00:03:16,861","00:03:18,706","I'm gonna miss you, too, Peachy.",0
50,"00:03:20,221","00:03:22,421","Man, you guys got the weirdest goodbye rituals.",0
51,"00:03:22,621","00:03:24,461","All right, break it up.",0
52,"00:03:24,661","00:03:26,984",Break it up! Break it up!,0
53,"00:03:44,101","00:03:45,261",Scotty!,0
54,"00:03:45,461","00:03:47,101","What's up, man!",0
55,"00:03:47,301","00:03:48,621",Damn! Hey.,0
56,"00:03:48,821","00:03:51,110","Ha-ha! Hey, man.",0
57,"00:03:52,901","00:03:54,141","Hey, what's up with your eye?",0
58,"00:03:54,341","00:03:57,301","Oh. Well, what do you think? Peachy. It's a going-away present.",0
59,"00:03:57,501","00:03:59,261","Oh, yeah. I still got my scar from a year ago.",0
60,"00:03:59,461","00:04:01,431","Oh, yeah.",0
60,"00:03:59,461","00:04:01,431",Yeah.,0
61,"00:04:02,101","00:04:04,501",You know what? I'm still the only one who knocked him out.,0
62,"00:04:04,701","00:04:06,865","Well, I definitely didn't.",0
63,"00:04:07,581","00:04:08,821","Thanks for picking me up, brother.",0
64,"00:04:09,021","00:04:11,381","Bro, you think I'm gonna miss my celly getting out?",0
65,"00:04:11,581","00:04:12,781","Hey, how's your girl, man?",0
66,"00:04:12,981","00:04:14,144","Oh, she left me.",0
67,"00:04:14,501","00:04:17,074",Oh.,0
67,"00:04:14,501","00:04:17,074","Yeah, my ma died, too.",0
68,"00:04:18,021","00:04:19,388",And my dad got deported.,0
69,"00:04:20,861","00:04:21,901",But I got the van!,0
70,"00:04:22,101","00:04:23,628",It's nice.,0
70,"00:04:22,101","00:04:23,628","Yeah, right?",0
71,"00:04:24,141","00:04:26,381","Thanks for the hook-up, too. I needed a place to stay.",0
72,"00:04:26,581","00:04:28,741",You wait till you see this couch. You're gonna be really happy.,0
73,"00:04:28,941","00:04:30,301",You're gonna be on your feet in no time. Watch.,0
74,"00:04:30,501","00:04:31,821",I hope so.,0
74,"00:04:30,501","00:04:31,821",Yeah.,0
75,"00:04:32,021","00:04:34,501",And I gotta introduce you to some people. Some really skilled people.,0
76,"00:04:34,701","00:04:36,221",Not interested.,0
76,"00:04:34,701","00:04:36,221","Yeah, right.",0
77,"00:04:36,421","00:04:38,744","No, I'm serious, man. I'm not going back.",0
78,"00:04:40,701","00:04:42,181",I got a daughter to take care of.,0
79,"00:04:42,381","00:04:44,461","You know that jobs don't come easy for ex-cons, right?",0
80,"00:04:44,661","00:04:47,587","Look, man, I got a master's in electrical engineering, all right?",0
81,"00:04:48,341","00:04:49,504",I'm gonna be fine.,0
82,"00:04:52,901","00:04:54,021",Welcome to Baskin-Robbins.,0
83,"00:04:54,221","00:04:56,101",Would you like to try our Mango Fruit Blast?,0
84,"00:04:56,301","00:04:57,304","Uh, no, thanks.",0
85,"00:04:57,701","00:05:00,701","Um, I will have... I'll have a burger, please.",0
86,"00:05:00,901","00:05:03,341","Oh, we don't... We don't make that.",0
87,"00:05:03,541","00:05:06,341","Pretzel. Hot pretzel. Like, mustard... Do you have mustard dip?",0
88,"00:05:06,541","00:05:08,432",It's ice cream. Baskin-Robbins.,0
89,"00:05:09,741","00:05:11,950","I'll just do, like, whatever's hot and fresh.",0
90,"00:05:12,621","00:05:13,501",Dude.,0
91,"00:05:13,701","00:05:15,381","Can I see you in the back, chief? Pronto.",0
92,"00:05:15,581","00:05:17,187","Sure thing, Dale.",0
93,"00:05:18,141","00:05:21,033","Darby, could you just, uh, take care of this idiot? Thanks.",0
94,"00:05:24,261","00:05:25,992","Hey, Dale.",0
94,"00:05:24,261","00:05:25,992",Come on in.,0
95,"00:05:26,461","00:05:27,749",Pull up some chair.,0
96,"00:05:30,261","00:05:32,301","Three years at San Quentin, huh?",0
97,"00:05:32,501","00:05:33,581",You found out.,0
98,"00:05:33,781","00:05:35,901",Baskin-Robbins always finds out.,0
99,"00:05:36,101","00:05:38,470","Look, I'm sorry, all right? But I...",0
100,"00:05:38,981","00:05:40,061",No one would hire me.,0
101,"00:05:40,261","00:05:42,581",Breaking and entering. Grand larceny.,0
102,"00:05:42,781","00:05:44,821","Look, I'm sorry.",0
103,"00:05:45,021","00:05:46,381",I don't do it anymore. I just...,0
104,"00:05:46,581","00:05:47,584",Respect.,0
105,"00:05:48,781","00:05:49,741",I couldn't be happier about it.,0
106,"00:05:49,941","00:05:51,261",Really?,0
106,"00:05:49,941","00:05:51,261",Yeah.,0
107,"00:05:51,461","00:05:53,261",Thank you. Thank you.,0
108,"00:05:53,461","00:05:55,901",You really stuck it to those billionaire SOBs.,0
109,"00:05:56,101","00:05:58,501",The more I read about what you did and stuff...,0
110,"00:05:58,701","00:06:01,101","I'm like, ""Wow, I know this guy?",0
111,"00:06:01,301","00:06:03,261","""I'm in charge of this guy?""",0
112,"00:06:03,461","00:06:05,741","Well, I'm very happy in this job,",0
113,"00:06:05,941","00:06:08,101",and I really just appreciate the opportunity to...,0
114,"00:06:08,301","00:06:09,748","Well, you're fired, of course.",0
115,"00:06:12,181","00:06:13,421",I can't really keep you on.,0
116,"00:06:13,621","00:06:15,181","Wait, what? Fired?",0
117,"00:06:15,381","00:06:16,341",Yeah.,0
118,"00:06:16,541","00:06:18,461","Dale, look, it wasn't a violent crime. I mean, I'm a good worker.",0
119,"00:06:18,661","00:06:21,421","No, it wasn't a violent crime. It was a cool crime.",0
120,"00:06:21,621","00:06:22,781","I'll tell you what, though.",0
121,"00:06:22,981","00:06:26,021","This will be totally off the books, off the records,",0
122,"00:06:26,221","00:06:29,101",but if you want to grab one of those Mango Fruit Blasts,0
123,"00:06:29,301","00:06:30,501","on your way out the door,",0
124,"00:06:30,701","00:06:33,149",I'll just pretend I didn't see it.,0
125,"00:07:11,701","00:07:13,034","Hey, Scotty. What's up?",0
126,"00:07:13,581","00:07:15,181",I thought you were supposed to be at work.,0
127,"00:07:15,381","00:07:17,101",I was. I got fired.,0
128,"00:07:17,301","00:07:18,901",Damn. They find out who you are?,0
129,"00:07:19,101","00:07:20,021",Yeah.,0
130,"00:07:20,221","00:07:21,821","Baskin-Robbins always finds out, bro.",0
131,"00:07:22,021","00:07:23,861",Baskin-Robbins don't play.,0
132,"00:07:24,061","00:07:27,181",You want some waffles?,0
132,"00:07:24,061","00:07:27,181","Yeah, I'll take a waffle.",0
133,"00:07:27,381","00:07:28,661",Oh. That's Kurt.,0
134,"00:07:28,861","00:07:31,183",He was Folsom for five years. He's a wizard on that laptop.,0
135,"00:07:32,141","00:07:34,544",Nice meet you.,0
135,"00:07:32,141","00:07:34,544","Yeah. Nice to meet you, too.",0
136,"00:07:35,421","00:07:36,470",Who are you?,0
137,"00:07:36,901","00:07:37,904",Dave.,0
138,"00:07:39,221","00:07:40,793",Nice work on the Vista job.,0
139,"00:07:41,741","00:07:42,901","Vista job, yes.",0
140,"00:07:43,101","00:07:45,461","No, no. I have heard of this robbery.",0
141,"00:07:45,661","00:07:48,901","Well, technically, I didn't rob them. Robbery involves threat.",0
142,"00:07:49,101","00:07:51,701",I hate violence. I burgled them. I'm a cat burglar.,0
143,"00:07:51,901","00:07:53,221",You mean you're a pussy.,0
144,"00:07:53,421","00:07:54,381",Yeah.,0
145,"00:07:54,581","00:07:56,301","They were overcharging the customers, right?",0
146,"00:07:56,501","00:07:57,821",And it added up to millions.,0
147,"00:07:58,021","00:07:59,912",He blows the whistle and he gets fired.,0
148,"00:08:00,461","00:08:01,621",And what does he do?,0
149,"00:08:01,821","00:08:03,621",He hacks into the security system,0
150,"00:08:03,821","00:08:06,381",and transfers millions back to the people that they stole it from.,0
151,"00:08:06,581","00:08:08,381",Posts all the bank records online.,0
152,"00:08:08,581","00:08:10,743",And he drove the dude's Bentley into his swimming pool.,0
153,"00:08:13,421","00:08:15,101",What are you doing?,0
154,"00:08:15,301","00:08:16,350",Hmm?,0
155,"00:08:17,181","00:08:19,301",Why are you telling my life story to these guys?,0
156,"00:08:19,501","00:08:20,661",What do you want?,0
157,"00:08:20,861","00:08:21,741",Okay.,0
158,"00:08:21,941","00:08:24,221",My cousin talked to this guy two weeks ago,0
159,"00:08:24,421","00:08:26,581",about this little perfect job.,0
159,"00:08:24,421","00:08:26,581",No way.,0
160,"00:08:26,781","00:08:29,061","No, no, no. Wait! This guy... This guy fits your M.O.",0
161,"00:08:29,261","00:08:30,101",No!,0
162,"00:08:30,301","00:08:32,501","I'm finished, man. I'm not going back to jail.",0
163,"00:08:32,701","00:08:34,621",It's some retired millionaire living off his golden parachute.,0
164,"00:08:34,821","00:08:36,661",It's a perfect Scott Lang mark!,0
165,"00:08:36,861","00:08:38,945",I don't care. I'm out.,0
166,"00:08:57,701","00:08:58,901",Dr. Pym?,0
167,"00:08:59,101","00:09:01,504",Yes. I'm still alive.,0
168,"00:09:08,581","00:09:09,630",ID?,0
169,"00:09:11,181","00:09:13,151",Perhaps that will suffice.,0
170,"00:09:15,301","00:09:17,385","Very sorry, sir. Please come in.",0
171,"00:09:19,701","00:09:21,671",Is that Hank Pym?,0
172,"00:09:25,741","00:09:27,029","Good morning, Hank.",0
173,"00:09:28,301","00:09:29,181",Hope.,0
174,"00:09:29,381","00:09:31,863",Would it kill you to call me Dad?,0
175,"00:09:32,701","00:09:35,707",Dr. Cross will be so pleased that you could find the time to join us today.,0
176,"00:09:36,221","00:09:38,191","More like ""thrilled.""",0
177,"00:09:38,981","00:09:42,661","I was surprised to receive any kind of invitation from you, Darren.",0
178,"00:09:42,861","00:09:44,141",What's the occasion?,0
