1,"00:00:38,833","00:00:42,381",[ Rabbi ] Savree maranun verabonun verobotay.,0
2,"00:00:42,381","00:00:45,738",Barooch ata adony elohaynou melech aholam.,0
3,"00:00:45,834","00:00:48,519",Borah pree hagafan.,0
4,"00:00:48,519","00:00:51,972",Barooch ata adony elohaynou melech aholam.,0
5,"00:00:52,068","00:00:54,369",Asher kideshano bemitzvotaiv...,0
6,"00:00:54,466","00:00:56,768",verazha banou veshabat kodsho...,0
7,"00:00:56,768","00:00:58,877",behava hencheel lanoe.,0
8,"00:00:58,877","00:01:02,330",Zecaron lemase berashit ke hoe yome...,0
9,"00:01:02,425","00:01:05,303",techelah lemekray kodesh...,0
10,"00:01:05,399","00:01:08,372",zecher letziat mizraim.,0
11,"00:01:08,468","00:01:11,729",Kee banoe bacharta veotano kedashta mekol hameem.,0
12,"00:01:11,729","00:01:14,318",Veshabat kodsho behavat razone.,0
13,"00:01:14,414","00:01:15,949",Henchaltanoe.,0
14,"00:01:16,045","00:01:22,087",Barooch ata adony mekadesh hasabat.,0
15,"00:01:32,924","00:01:37,336",[ Train Whistle Blowing ],0
16,"00:02:15,411","00:02:18,672",Name ?,0
16,"00:02:15,411","00:02:18,672","Horowitz, Salomon.",0
17,"00:02:18,767","00:02:22,699","[ Indistinct Talking, Various Languages ]",0
18,"00:02:22,796","00:02:25,769","Schneider, Sarah. Birnbaum, Olga ?",0
19,"00:02:25,769","00:02:28,741","[ Children Crying, Indistinct Talking ]",0
20,"00:02:28,838","00:02:31,906",Over there. Over there ! Kommen Sie Doch.,0
21,"00:02:32,003","00:02:36,127",Isak Hudes.,0
21,"00:02:32,003","00:02:36,127","Hudes, Isak.",0
22,"00:02:36,222","00:02:38,045","Zucker, Helena.",0
23,"00:02:38,140","00:02:40,826","Zucker, Helena.",0
24,"00:02:40,921","00:02:43,703","Hirsch, Salomon ? Mandel, Maria. Hirsch, Salomon.",0
25,"00:02:43,799","00:02:47,155","Hauptman, Chaim !",0
25,"00:02:43,799","00:02:47,155","Weisman ! Weisman, Marcus !",0
26,"00:02:47,252","00:02:50,033","Feber, Ludwig !",0
26,"00:02:47,252","00:02:50,033","Feber, Ludwig.",0
27,"00:02:50,128","00:02:53,102",Elsa Bauman.,0
28,"00:02:53,102","00:02:55,500",-Josef Klein.,0
28,"00:02:53,102","00:02:55,500",Klein.,0
29,"00:02:55,500","00:02:59,335","Davidowich, Ignacy.",0
29,"00:02:55,500","00:02:59,335",Paula Biffer.,0
29,"00:02:55,500","00:02:59,335","Nadel, Rachela.",0
30,"00:02:59,432","00:03:01,926","Steiner, Gertruda. Steiner, Hilda.",0
31,"00:03:14,585","00:03:18,710",## [ ''Gloomy Sunday'' ],0
32,"00:04:13,376","00:04:16,636",[ Indistinct Chatter],0
33,"00:04:19,322","00:04:21,911",[ Whispering ],0
34,"00:04:28,434","00:04:33,133",####[ Orchestra Playing ],0
35,"00:04:56,246","00:05:00,178","[ Maitre D'] Jerzy, you know who that man is ? I don't know.",0
36,"00:05:00,178","00:05:03,535",[ Woman Laughing ],0
37,"00:05:03,535","00:05:08,522",####[ Orchestra Continues ],0
38,"00:05:16,674","00:05:19,647","Let's get together, please.",0
39,"00:05:19,743","00:05:22,428",Smile. Good.,0
40,"00:05:51,200","00:05:53,981","Yes, sir.",0
41,"00:05:54,078","00:05:57,531",Bring them over a round of drinks.,0
42,"00:05:57,626","00:06:02,806","Very good, sir. And who shall I say th-they are from ?",0
43,"00:06:02,901","00:06:05,779",You can say they are from me.,0
44,"00:06:25,152","00:06:28,892",From the gentleman. Where ?,0
45,"00:06:33,783","00:06:36,756",Do you know him ?,0
46,"00:06:36,756","00:06:39,154",Find out who he is.,0
47,"00:06:39,154","00:06:40,975","Yes, sir.",0
48,"00:06:43,758","00:06:46,059","Agnieszka, I would give anything...",0
49,"00:06:46,155","00:06:48,169",to hear you sing tonight. [ Sighs ],0
50,"00:06:48,169","00:06:50,471",But I know you won't. [ Laughs ],0
51,"00:06:51,909","00:06:54,595",You embarrass me.,0
52,"00:07:02,747","00:07:04,761",What's he doing ?,0
53,"00:07:07,063","00:07:08,980",Stay here.,0
54,"00:07:12,338","00:07:14,255",How are you doing ?,0
55,"00:07:14,255","00:07:18,379",You'd leave a woman alone at the table in a place like this ?,0
56,"00:07:18,475","00:07:21,257","Sweetheart, you're the picture of loneliness.",0
57,"00:07:21,257","00:07:23,175",Oh.,0
58,"00:07:23,270","00:07:26,531","Mmm, what a lovely fragrance. You are breaking my heart.",0
59,"00:07:26,628","00:07:29,121","An extra chair, please. Vodka for my friend.",0
60,"00:07:29,217","00:07:31,615",And for the lady ? Pernod.,0
61,"00:07:31,711","00:07:35,451","# Im Grunewald, im Grunewald ist Holzauktion #",0
62,"00:07:35,547","00:07:38,232","[ Men Laughing, Whistling ] # Ist Holzauktion #",0
63,"00:07:38,232","00:07:41,589","# Im Grunewald, im Grunewald ist Holzauktion #",0
64,"00:07:41,684","00:07:44,370","Come to the table, girls.! Drink with us.! # Ist Holzauktion #",0
65,"00:07:44,466","00:07:47,343","# Links um die Ecke 'rum, rechts um die Ecke 'rum #",0
66,"00:07:47,343","00:07:50,125",# Ueberall ist heute Holzauktion #,0
67,"00:07:50,220","00:07:52,714",Come to us.! Marry us.!,0
68,"00:07:54,344","00:07:56,454",[ Whispering ],0
69,"00:07:56,454","00:07:59,427",# Der ganze Klafter Suessholz kostet 'nen Taler #,0
70,"00:07:59,524","00:08:02,592","# 'Nen Taler, 'nen Taler #",0
71,"00:08:02,689","00:08:05,565",# Der ganze Klafter Suessholz kostet 'nen Taler #,0
72,"00:08:05,661","00:08:07,196",##,0
73,"00:08:09,594","00:08:12,950",Thank you. I'll tell you what I mean by cooperative.,0
74,"00:08:13,047","00:08:16,307","Two days after the law is passed that allJews have to wear the star,",0
75,"00:08:16,307","00:08:18,417",theJewish tailors are turning them out by the gross...,0
76,"00:08:18,513","00:08:20,814",in a variety of fabrics at three zloty each.,0
77,"00:08:20,911","00:08:22,733",Tell me about your cellar wines.,0
78,"00:08:22,829","00:08:26,186","I have an excellent German Riesling. 1 937. Mmm, French.",0
79,"00:08:26,281","00:08:28,870","A Bordeaux. Chateau Latour, '28, '29 ? No, I'm sorry.",0
80,"00:08:28,967","00:08:31,269",It's as if they have no idea what kind of law it is.,0
81,"00:08:31,364","00:08:34,242",As if it's the emblem of a riding club.,0
82,"00:08:34,337","00:08:36,352","A Margaux, '29 ? No, no, we don't have that.",0
83,"00:08:36,447","00:08:38,653","Burgundy then ? A Romanee-Conti, '37 ? Yes.",0
84,"00:08:38,749","00:08:41,530",It's human nature. ''We'll do this to avoid that.'',0
85,"00:08:41,627","00:08:43,736",That's what they have done since thousands of years.,0
86,"00:08:43,736","00:08:45,943",It's what they do. They weather the storm.,0
87,"00:08:46,038","00:08:49,875",But this storm is different. This is not the Romans. This storm is the SS.,0
88,"00:08:49,970","00:08:53,615",## Wem Gott will rechte Gunst erweisen ##,0
89,"00:08:53,615","00:08:57,355",##Den schickt er in die weite Welt ##,0
90,"00:08:57,451","00:09:00,904",## Wem Gott will rechte Gunst erweisen ##,0
91,"00:09:01,000","00:09:04,548",##Den schickt er in die weite Welt ##,0
92,"00:09:04,644","00:09:08,000","##Faleri, Falera ##",0
93,"00:09:08,097","00:09:11,741",##Faleri Falera-ha ha ha ##,0
94,"00:09:11,741","00:09:15,194","##Faleri, Falera ##",0
95,"00:09:15,290","00:09:19,509",##Den schickt er in die weite Welt ##,0
96,"00:09:19,606","00:09:21,620",Martin ?,0
97,"00:09:21,715","00:09:23,730","Yes, sir.",0
98,"00:09:23,730","00:09:25,647",Who is that man ?,0
99,"00:09:25,647","00:09:29,771",That-- That's Oskar Schindler !,0
100,"00:09:29,867","00:09:33,032",##Faleri Falera-ha ha ha ##,0
101,"00:09:33,129","00:09:36,581",##Den schickt er in die weite Welt ##,0
102,"00:09:36,677","00:09:39,266","##Faleri, Falera ##",0
